,stations
779,NOSC3
780,OFPN6
781,PTJN6
782,SCSN6
783,SOSN6
784,LOPL1
785,GRBL1
786,ILDL1
787,MRSL1
788,SIPM6
789,SLPL1
790,SPLL1
791,LKPL1
792,LUML1
793,TAML1
794,TRBL1
795,AJXA2
796,AKXA2
797,APMA2
798,BEXA2
799,CDXA2
800,CPXA2
801,CSXA2
802,DHXA2
803,DPLA2
804,DPOA2
805,DPXA2
806,ERXA2
807,GBXA2
808,GEXA2
809,GIXA2
810,GPXA2
811,GUXA2
812,HAXA2
813,HMSA2
814,ICYA2
815,JLXA2
816,JMLA2
817,JNGA2
818,KCXA2
819,KEXA2
820,KGXA2
821,KMXA2
822,KNXA2
823,KOZA2
824,LIXA2
825,MIXA2
826,MRNA2
827,MRYA2
828,MVXA2
829,MXXA2
830,NKLA2
831,NKXA2
832,NLXA2
833,NMXA2
834,NSXA2
835,PAUA2
836,PAXA2
837,PCXA2
838,PEXA2
839,PGXA2
840,PPXA2
841,PTLA2
842,RIXA2
843,SCXA2
844,SGXA2
845,SHXA2
846,SIXA2
847,SKXA2
848,SLXA2
849,SPXA2
850,SRXA2
851,STXA2
852,SVXA2
853,SWXA2
854,SXXA2
855,TKEA2
856,TPXA2
857,UQXA2
858,VDXA2
859,WCXA2
860,WGXA2
861,WIXA2
862,WRXA2
863,FGBL1
864,46044
865,46091
866,46092
867,46093
868,62090
869,62091
870,62092
871,62093
872,62094
873,62095
874,41096
875,41097
876,41098
877,41100
878,41101
879,41300
880,61001
881,61002
882,62001
883,62052
884,62027
885,45023
886,45025
887,45175
888,45194
889,45212
890,45213
891,45214
892,GOM01
893,MSG10
894,MSG12
895,MSG14
896,MLSC1
897,44022
898,44039
899,44040
900,44060
901,LDLC3
902,23401
903,23461
904,ACFS1
905,ACQS1
906,ACXS1
907,ANMN6
908,ANRN6
909,APQF1
910,APXA2
911,APXF1
912,BGXN3
913,BILW3
914,BRIM2
915,BSLM2
916,BVQW1
917,CHNO3
918,CHQO3
919,CVQV2
920,CWQO3
921,CWQT2
922,DBQS1
923,DEQD1
924,DRSD1
925,EAZC1
926,EHSC1
927,ELQC1
928,ELXC1
929,EVMC1
930,FFFC1
931,GBHM6
932,GBQN3
933,GBRM6
934,GDQM6
935,GDWV2
936,GDXM6
937,GGGC1
938,GTQF1
939,GTXF1
940,HBMN6
941,HMRA2
942,HUQN6
943,JCQN4
944,JCRN4
945,JCTN4
946,JOBP4
947,JOQP4
948,JOXP4
949,KCHA2
950,LTQM2
951,MAQT2
952,MAXT2
953,MIST2
954,MQMT2
955,MWQT2
956,NAQR1
957,NAXR1
958,NIQS1
959,NIWS1
960,NOQN7
961,NOXN7
962,NPQN6
963,NPXN6
964,OWDO1
965,OWMO1
966,OWQO1
967,OWSO1
968,OWXO1
969,PBFW1
970,PBLW1
971,PKBW3
972,RKQF1
973,RKXF1
974,RYEC1
975,SAQG1
976,SAXG1
977,SCLD1
978,SCQC1
979,SCQN6
980,SEQA2
981,SFXC1
982,SKQN6
983,SLOO3
984,SNTO3
985,SOQO3
986,TCSV2
987,TIQC1
988,TIXC1
989,TKPN6
990,WAQM3
991,WAXM3
992,WBYA1
993,WEBM1
994,WELM1
995,WEQM1
996,WEXM1
997,WKQA1
998,WKXA1
999,WYBS1
1000,WYSS1
1001,YRSV2
1002,ZBQN7
1003,23218
1004,23220
1005,23223
1006,23225
1007,23226
1008,LPWA2
1009,NBBA3
1010,NLMA3
1011,SBBN2
1012,SLMN2
1013,VBBA3
1014,45183
1015,46260
1016,46261
1017,46263
1018,46264
1019,46280
1020,46281
1021,SECG1
1022,5401000
1023,5401001
1024,5401002
1025,5401003
1026,5401004
1027,5401005
1028,5501002
1029,5501003
1030,5501004
1031,5501005
1032,5501006
1033,5501007
1034,AGXC1
1035,BAXC1
1036,BDRN4
1037,BDSP1
1038,BGNN6
1039,BKBF1
1040,BLIF1
1041,BLTM3
1042,BMTW1
1043,BRND1
1044,CBCM2
1045,CHCM2
1046,CHYV2
1047,COVM2
1048,CPMW1
1049,CPNW1
1050,CPTR1
1051,CPVM2
1052,CRYV2
1053,DELD1
1054,DMSF1
1055,DOMV2
1056,DPXC1
1057,EBEF1
1058,EFLA1
1059,EINL1
1060,FMOA1
1061,FRMA1
1062,FRVM3
1063,FRXM3
1064,FSKM2
1065,FSNM2
1066,GCTF1
1067,HIVT2
1068,KLMW1
1069,LNDC1
1070,LQAT2
1071,LTJF1
1072,MBPA1
1073,MCGA1
1074,MHBT2
1075,MHRN6
1076,MNPV2
1077,MRCP1
1078,MTBF1
1079,MZXC1
1080,NBGM3
1081,NBLP1
1082,NFDF1
1083,NWHC3
1084,OBXC1
1085,OKXC1
1086,OMHC1
1087,OPTF1
1088,PDVR1
1089,PEGF1
1090,PFDC1
1091,PFXC1
1092,PILL1
1093,PMAF1
1094,PPTM2
1095,PPXC1
1096,PRHH1
1097,PRJC1
1098,PRUR1
1099,PSBC1
1100,PSXC1
1101,PTBM6
1102,PTCR1
1103,PTOA1
1104,PVDR1
1105,PXAC1
1106,PXOC1
1107,PXSC1
1108,QPTR1
1109,RCMC1
1110,ROBN4
1111,RPLV2
1112,RTYC1
1113,SEIM1
1114,SJSN4
1115,SKCF1
1116,SWPM4
1117,TCBM2
1118,TCMW1
1119,TCNW1
1120,TLVT2
1121,TPAF1
1122,TSHF1
1123,TXVT2
1124,UPBC1
1125,UTVT2
1126,VTBT2
1127,WDSV2
1128,YKRV2
1129,28401
1130,48400
1131,44021
1132,44024
1133,44029
1134,44030
1135,44031
1136,44032
1137,44033
1138,44034
1139,44035
1140,44036
1141,44037
1142,44038
1143,45171
1144,45172
1145,45173
1146,GRIM4
1147,46094
1148,46118
1149,46119
1150,46128
1151,45020
1152,AAMC1
1153,ACYN4
1154,ADKA2
1155,AGCM4
1156,ALIA2
1157,ALXN6
1158,AMRL1
1159,ANTA2
1160,ANVC1
1161,APAM2
1162,APCF1
1163,APRP7
1164,ASTO3
1165,ATGM1
1166,ATKA2
1167,BARA9
1168,BATN6
1169,BEPB6
1170,BFTN7
1171,BHBM3
1172,BISM2
1173,BKTL1
1174,BLTM2
1175,BRHC3
1176,BUFN6
1177,BYGL1
1178,BZBM3
1179,CAMM2
1180,CAPL1
1181,CARL1
1182,CASM1
1183,CBBV2
1184,CCUF1
1185,CECC1
1186,CFWM1
1187,CHAO3
1188,CHAV3
1189,CHBV2
1190,CHSV3
1191,CHTM3
1192,CHTS1
1193,CHYW1
1194,CKYF1
1195,CLBP4
1196,CMAN4
1197,CMTI2
1198,CNDO1
1199,CRVA2
1200,CTGM1
1201,CWBF1
1202,DILA1
1203,DKCM6
1204,DTLM4
1205,DUKN7
1206,DULM5
1207,EBSW1
1208,ELFA2
1209,EREP1
1210,ERTF1
1211,ESPP4
1212,FAIO1
1213,FCGT2
1214,FMRF1
1215,FOXR1
1216,FPKG1
1217,FPST2
1218,FPTT2
1219,FRCB6
1220,FRDF1
1221,FRDW1
1222,FREL1
1223,FRPS1
1224,FRWL1
1225,FTGM4
1226,FTPC1
1227,GBWW3
1228,GCVF1
1229,GDMM5
1230,GISL1
1231,GNJT2
1232,GPOM6
1233,GPST2
1234,GTOT2
1235,GWPM6
1236,HBYC1
1237,HCGN7
1238,HLNM4
1239,HMDO3
1240,HRBM4
1241,HRVC1
1242,ICAC1
1243,IIWC1
1244,ILOH1
1245,ITKA2
1246,JMPN7
1247,JNEA2
1248,JXUF1
1249,KBMG1
1250,KDAA2
1251,KECA2
1252,KGCA2
1253,KLIH1
1254,KPTN6
1255,KPTV2
1256,KWHH1
1257,KWJP8
1258,KWNW3
1259,KYWF1
1260,LABL1
1261,LAMV3
1262,LAPW1
1263,LCLL1
1264,LDTM4
1265,LJAC1
1266,LKWF1
1267,LOPW1
1268,LPNM4
1269,LTBV3
